Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawLeft,JawRight,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthLeft,MouthRight,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:01:28,61,0.01,0.068,0.05106,0.0337,0.0429,0.1656,0.1043,0.01,0.06775,0.0947,0.01624,0.04306,0.1656,0.1039,0.04492,0.014534,0.00887,0.2117,0.2234,0.2712,0.601,0.0143,0.01042,0.00106,0.004475,0.1052,0.1003,0.04184,0.0416,0.1204,0.1155,0.0556,0.07837,0.1039,0.01,0.03378,0.03616,0.11127,0.1073,0.03058,0.02882,0.0864,0.08624,0.1783,0.1062,0.1055,0.0666,0.0666,0.06165,0.0821,0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:30,61,0.01,0.06494,0.04462,0.04456,0.03183,0.1777,0.0909,0.01,0.06464,0.1137,0.01756,0.0319,0.1788,0.0905,0.0529,0.01504,0.007473,0.2664,0.2825,0.2678,0.6357,0.01235,0.012314,0.002657,0.003464,0.1217,0.1169,0.05176,0.04987,0.1295,0.1216,0.0646,0.08673,0.10675,0.01,0.03574,0.0389,0.11505,0.1102,0.02216,0.02043,0.07043,0.0703,0.1985,0.11523,0.1144,0.067,0.0887,0.0844,0.0841,0.07733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:32,61,0.01,0.05475,0.04514,0.03345,0.0289,0.1884,0.08673,0.01,0.0545,0.10547,0.02101,0.02898,0.1896,0.0861,0.0598,0.01694,0.006954,0.3013,0.306,0.283,0.537,0.00658,0.01183,0.015045,0.02045,0.1243,0.11774,0.06464,0.06256,0.1436,0.1355,0.0731,0.09247,0.109,0.01,0.03857,0.04205,0.1329,0.1318,0.009735,0.01136,0.0462,0.0471,0.2341,0.1398,0.1389,0.05594,0.11127,0.1097,0.0848,0.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:34,61,0.01,0.0455,0.04193,0.03458,0.03476,0.2009,0.09845,0.01,0.04526,0.1101,0.02098,0.0348,0.2019,0.09784,0.0655,0.01767,0.00565,0.2812,0.2788,0.2365,0.3857,0.0085,0.00757,0.02408,0.0326,0.10754,0.1006,0.05765,0.05533,0.1489,0.1406,0.07,0.10034,0.0816,0.01,0.03152,0.0342,0.1538,0.156,0.006565,0.00977,0.02055,0.02225,0.3005,0.1768,0.1755,0.05106,0.1138,0.1157,0.08246,0.0808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:36,61,0.01,0.0467,0.03738,0.0371,0.04022,0.1971,0.103,0.01,0.04645,0.11084,0.01451,0.04022,0.1978,0.103,0.0649,0.01703,0.004375,0.2263,0.2208,0.2,0.2551,0.01048,0.00449,0.03476,0.03867,0.0693,0.0651,0.0582,0.0551,0.1483,0.1383,0.0651,0.0847,0.0724,0.01,0.03223,0.03384,0.1666,0.1688,0.0106,0.01213,0.02274,0.02422,0.3328,0.1815,0.1802,0.0438,0.11084,0.1145,0.07874,0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:38,61,0.01,0.0584,0.02823,0.0429,0.0502,0.1895,0.1332,0.01,0.0581,0.1151,0.004246,0.0503,0.1896,0.1337,0.05774,0.01892,0.007336,0.1416,0.10077,0.2069,0.1614,0.00658,0.004715,0.03397,0.0446,0.03995,0.03528,0.05087,0.0507,0.141,0.133,0.04407,0.06366,0.0668,0.01,0.02998,0.03253,0.2,0.2029,0.03867,0.04065,0.03528,0.0368,0.311,0.1927,0.1918,0.03644,0.0975,0.10034,0.07324,0.0716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:40,61,0.01,0.0538,0.03568,0.04605,0.06085,0.1886,0.1599,0.01,0.05344,0.11365,0.00806,0.06104,0.1888,0.1603,0.05634,0.0158,0.00847,0.12494,0.0852,0.2238,0.1553,0.00707,0.0063,0.04367,0.04907,0.0431,0.03873,0.05032,0.05045,0.1362,0.1301,0.04245,0.05676,0.063,0.01,0.02682,0.03056,0.1992,0.2014,0.0477,0.04895,0.04468,0.04608,0.3013,0.1904,0.1896,0.03442,0.08777,0.08826,0.07166,0.06995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:42,61,0.01,0.0547,0.0461,0.05298,0.05988,0.1826,0.1628,0.01,0.0543,0.11884,0.01802,0.0601,0.183,0.163,0.04993,0.0122,0.009,0.116,0.09985,0.2449,0.2122,0.01105,0.005253,0.04288,0.0447,0.055,0.04785,0.04596,0.0445,0.1324,0.1261,0.0465,0.0641,0.07135,0.01,0.02469,0.02777,0.1526,0.1527,0.02863,0.02931,0.05026,0.05142,0.289,0.1855,0.1846,0.04504,0.064,0.0631,0.0673,0.06433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:44,61,0.01,0.05563,0.05356,0.05518,0.05792,0.1946,0.1553,0.01,0.0553,0.12115,0.02557,0.05814,0.1956,0.1555,0.0488,0.01411,0.00798,0.1106,0.09393,0.2122,0.3682,0.01278,0.004406,0.05292,0.05847,0.05234,0.0465,0.054,0.0513,0.1318,0.1238,0.04608,0.06854,0.0811,0.01,0.02397,0.02698,0.1423,0.1414,0.02632,0.02661,0.04413,0.04428,0.28,0.1841,0.1831,0.0563,0.0678,0.0642,0.0772,0.0724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:46,61,0.01,0.06238,0.04916,0.0574,0.03943,0.1897,0.133,0.01,0.06195,0.1261,0.02338,0.03952,0.1904,0.1335,0.05017,0.01381,0.006306,0.1276,0.1227,0.2241,0.4695,0.01214,0.005665,0.06244,0.06696,0.04724,0.04364,0.06433,0.06137,0.131,0.1228,0.04642,0.0654,0.0947,0.01,0.02962,0.0326,0.1421,0.1422,0.01703,0.01775,0.02892,0.0287,0.2786,0.1868,0.1857,0.05966,0.0871,0.08276,0.0876,0.0814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
