Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawLeft,JawRight,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthLeft,MouthRight,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:02:10,61,0.01,0.0578,0.02858,0.0416,0.03806,0.1929,0.0865,0.01,0.0576,0.11774,0.007286,0.03802,0.1946,0.0871,0.05856,0.0366,0.005222,0.1486,0.06238,0.1628,0.05725,0.006958,0.00485,0.1477,0.1447,0.00368,0.005245,0.0618,0.05856,0.12415,0.117,0.04227,0.05765,0.05914,0.01,0.03029,0.0322,0.338,0.345,0.0807,0.0775,0.03577,0.03638,0.3013,0.1426,0.1416,0.01692,0.1392,0.1376,0.09674,0.0907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:12,61,0.01,0.0558,0.02748,0.04974,0.04254,0.2096,0.093,0.01,0.0555,0.1293,0.009926,0.04257,0.2119,0.0937,0.0625,0.0349,0.00577,0.1385,0.05862,0.1564,0.05396,0.00534,0.00463,0.1543,0.1534,0.00388,0.004765,0.064,0.06033,0.1285,0.1214,0.0412,0.0611,0.05533,0.01,0.0277,0.03023,0.3308,0.338,0.08093,0.07965,0.0436,0.04443,0.287,0.1355,0.1344,0.0176,0.1411,0.1401,0.10065,0.09467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:14,61,0.01,0.0558,0.0355,0.04016,0.0536,0.2246,0.11554,0.01,0.0555,0.1159,0.0149,0.0537,0.2264,0.1162,0.0655,0.02788,0.00936,0.11914,0.0503,0.1519,0.04965,0.007526,0.005703,0.1605,0.1603,0.002583,0.003422,0.0687,0.0652,0.1289,0.12164,0.04056,0.0625,0.0524,0.01,0.02525,0.02823,0.312,0.3162,0.0796,0.0784,0.05066,0.0513,0.2717,0.1395,0.1388,0.01752,0.1208,0.1193,0.0959,0.09045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:16,61,0.01,0.04617,0.0379,0.04364,0.0667,0.24,0.1464,0.01,0.04593,0.1168,0.01625,0.0669,0.2412,0.1473,0.06274,0.01886,0.0117,0.0871,0.04623,0.1776,0.06223,0.00938,0.003262,0.1203,0.1209,0.00467,0.005543,0.06155,0.0574,0.1324,0.1251,0.03836,0.0615,0.05313,0.01,0.02472,0.02805,0.246,0.248,0.0628,0.06256,0.0664,0.06683,0.2546,0.148,0.1475,0.02031,0.10297,0.1026,0.09015,0.08545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:18,61,0.01,0.045,0.04822,0.04343,0.06494,0.2281,0.1636,0.01,0.04486,0.10754,0.01878,0.0651,0.2291,0.1649,0.06018,0.01499,0.01273,0.0782,0.04718,0.2052,0.08093,0.01077,0.003149,0.0973,0.0972,0.006645,0.007214,0.05838,0.05408,0.1343,0.1278,0.0411,0.06085,0.06183,0.01,0.02582,0.02832,0.2124,0.213,0.0499,0.04883,0.07605,0.07623,0.2283,0.1376,0.1373,0.02214,0.0856,0.0843,0.0863,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:20,61,0.01,0.04697,0.05307,0.04755,0.0575,0.2307,0.1534,0.01,0.0468,0.111,0.0237,0.05765,0.2322,0.1545,0.05515,0.01442,0.01166,0.08044,0.05508,0.2272,0.1062,0.01156,0.001311,0.09436,0.09314,0.01364,0.01284,0.06012,0.05536,0.1351,0.1282,0.0427,0.06143,0.0674,0.01,0.02603,0.02808,0.1931,0.1937,0.03833,0.03708,0.0809,0.0811,0.215,0.1357,0.1355,0.02417,0.0863,0.0844,0.0917,0.08765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:22,61,0.01,0.05093,0.052,0.0398,0.05664,0.2251,0.1354,0.01,0.05084,0.10486,0.02368,0.05676,0.2262,0.1361,0.0535,0.01738,0.00959,0.0847,0.0564,0.2274,0.10406,0.0103,0.0,0.0874,0.08624,0.016,0.01523,0.0599,0.05508,0.1326,0.1265,0.0419,0.05887,0.07153,0.01,0.02888,0.0304,0.19,0.192,0.03882,0.03815,0.06903,0.06946,0.2168,0.1265,0.1262,0.02515,0.09686,0.0963,0.09283,0.0885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:24,61,0.01,0.0551,0.04254,0.03317,0.05777,0.221,0.1224,0.01,0.05502,0.1024,0.01677,0.0579,0.2219,0.1231,0.0524,0.0205,0.00829,0.0922,0.06134,0.2162,0.10236,0.0098,0.0001692,0.0743,0.07574,0.015495,0.01483,0.0581,0.05402,0.1299,0.1241,0.04132,0.05826,0.0707,0.01,0.02924,0.0309,0.1918,0.1952,0.04068,0.04114,0.05527,0.05576,0.232,0.1256,0.1252,0.02567,0.1038,0.1052,0.0932,0.08923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:26,61,0.01,0.05923,0.04196,0.03207,0.06647,0.2084,0.122,0.01,0.05914,0.1008,0.014946,0.0666,0.2092,0.1226,0.05292,0.02045,0.00878,0.0933,0.0625,0.193,0.09247,0.00848,0.002882,0.0684,0.07306,0.01108,0.010796,0.0613,0.0589,0.1272,0.12195,0.04218,0.05927,0.06824,0.01,0.0291,0.03122,0.1964,0.1998,0.04297,0.04416,0.0507,0.0513,0.2458,0.1305,0.13,0.02461,0.0974,0.0999,0.0882,0.0852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:28,61,0.01,0.05762,0.04398,0.0335,0.08057,0.1992,0.1339,0.01,0.05756,0.10077,0.01489,0.0807,0.1997,0.1344,0.05292,0.0204,0.009514,0.087,0.06033,0.177,0.0807,0.005875,0.00514,0.06433,0.07104,0.010376,0.00983,0.06396,0.06305,0.1247,0.12024,0.0421,0.06107,0.06494,0.01,0.02669,0.0289,0.197,0.2003,0.0431,0.04425,0.05124,0.05206,0.2693,0.1306,0.1301,0.02405,0.0865,0.0887,0.0785,0.0765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:30,61,0.01,0.05508,0.04565,0.0339,0.0899,0.19,0.1406,0.01,0.05502,0.0988,0.01421,0.08997,0.1901,0.141,0.05246,0.02087,0.00979,0.0818,0.05734,0.1628,0.0696,0.00392,0.00676,0.07043,0.0783,0.01021,0.00896,0.0645,0.0647,0.1207,0.1168,0.04175,0.0623,0.06174,0.01,0.0251,0.02716,0.204,0.2059,0.04404,0.04492,0.0524,0.05347,0.2837,0.1265,0.126,0.02359,0.0783,0.0799,0.06995,0.0691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:32,61,0.01,0.05402,0.05017,0.03308,0.09265,0.1807,0.1447,0.01,0.05396,0.09534,0.01625,0.0927,0.1807,0.145,0.05215,0.02022,0.01052,0.0759,0.05402,0.1519,0.06128,0.003319,0.00806,0.07935,0.08704,0.009315,0.007904,0.0702,0.0706,0.1171,0.1134,0.0435,0.0638,0.06366,0.01,0.0254,0.0274,0.2046,0.2056,0.04382,0.04434,0.05853,0.05978,0.2837,0.1198,0.1193,0.02325,0.0723,0.07306,0.0647,0.06433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:34,61,0.01,0.05405,0.0536,0.03137,0.0902,0.1735,0.1438,0.01,0.054,0.0914,0.01736,0.09033,0.1735,0.1439,0.05112,0.01942,0.01097,0.0699,0.05057,0.1437,0.05646,0.003656,0.00875,0.0849,0.09247,0.008026,0.006557,0.07513,0.0755,0.11395,0.11035,0.0454,0.06396,0.0664,0.01,0.02608,0.02812,0.1996,0.2,0.04388,0.0443,0.0673,0.0686,0.2805,0.1169,0.11646,0.02306,0.0697,0.0701,0.0635,0.0634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:36,61,0.01,0.0558,0.0578,0.02986,0.0842,0.1674,0.1447,0.01,0.0557,0.08795,0.01987,0.0844,0.1674,0.1445,0.05145,0.01791,0.011955,0.0658,0.04736,0.1378,0.05426,0.00519,0.00869,0.0914,0.0983,0.007244,0.00581,0.07855,0.07825,0.11316,0.1089,0.04688,0.06506,0.068,0.01,0.02672,0.02884,0.1956,0.1952,0.04425,0.0444,0.072,0.0733,0.2773,0.12036,0.12,0.02313,0.06775,0.06757,0.06354,0.0634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:38,61,0.01,0.05838,0.06146,0.02888,0.0757,0.1644,0.1475,0.01,0.0583,0.0853,0.02211,0.0759,0.1647,0.1473,0.05338,0.01599,0.01311,0.06696,0.04614,0.1349,0.05435,0.007236,0.0079,0.1054,0.1113,0.00668,0.005474,0.0802,0.07904,0.1147,0.1096,0.04715,0.06647,0.0668,0.01,0.02684,0.02905,0.2014,0.2004,0.047,0.04697,0.0735,0.07465,0.2717,0.1294,0.129,0.02269,0.0683,0.06744,0.0672,0.06683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:40,61,0.01,0.05975,0.0607,0.02573,0.0702,0.1691,0.1449,0.01,0.05966,0.08203,0.0214,0.07043,0.1693,0.1449,0.0556,0.01724,0.013145,0.0743,0.04565,0.1389,0.05627,0.00841,0.006134,0.1235,0.1278,0.007263,0.00574,0.071,0.06915,0.1162,0.11084,0.04254,0.06665,0.05823,0.01,0.02553,0.02751,0.223,0.2217,0.0531,0.0524,0.07025,0.0712,0.2703,0.1375,0.1371,0.02214,0.0739,0.07245,0.0718,0.0705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:42,61,0.01,0.05783,0.05545,0.02156,0.06177,0.177,0.1298,0.01,0.05774,0.08026,0.01898,0.062,0.177,0.1298,0.05826,0.01955,0.011986,0.08777,0.04602,0.1469,0.05872,0.009834,0.004173,0.1486,0.1488,0.00781,0.006298,0.05856,0.05563,0.11597,0.1104,0.03607,0.06335,0.0499,0.01,0.02559,0.02745,0.2542,0.253,0.06714,0.06464,0.0637,0.0647,0.2554,0.137,0.1366,0.0208,0.08594,0.0838,0.0779,0.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:44,61,0.01,0.04828,0.04965,0.01608,0.0627,0.1965,0.1201,0.01,0.04825,0.07904,0.01698,0.0629,0.1967,0.12006,0.0587,0.02362,0.01002,0.11096,0.05173,0.1486,0.05786,0.01064,0.003803,0.1765,0.1709,0.005383,0.00421,0.05884,0.05505,0.11255,0.10693,0.03766,0.0631,0.05206,0.01,0.0288,0.03046,0.2937,0.2937,0.0763,0.07104,0.05832,0.05923,0.2402,0.1304,0.1302,0.0193,0.10657,0.104,0.0833,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:46,61,0.01,0.04147,0.045,0.01698,0.0703,0.218,0.1231,0.01,0.04138,0.08484,0.01701,0.07056,0.2183,0.12317,0.0621,0.02577,0.009995,0.1315,0.0556,0.149,0.05493,0.01207,0.003656,0.1969,0.188,0.002922,0.00197,0.06052,0.05634,0.1175,0.1112,0.03787,0.06616,0.04913,0.01,0.02858,0.03015,0.3333,0.334,0.0791,0.07263,0.0539,0.05475,0.224,0.123,0.1228,0.01772,0.114,0.1123,0.0874,0.0809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:48,61,0.01,0.03918,0.0464,0.02116,0.0807,0.2377,0.1342,0.01,0.03906,0.0905,0.01978,0.081,0.2378,0.1343,0.06885,0.02414,0.01243,0.1421,0.05753,0.1456,0.051,0.01106,0.004314,0.2212,0.2168,0.001028,0.0,0.06287,0.05954,0.12366,0.117,0.03854,0.07184,0.04584,0.01,0.02588,0.02753,0.364,0.3657,0.07544,0.07074,0.05896,0.05975,0.228,0.1203,0.12,0.0169,0.1174,0.1165,0.0915,0.0853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:50,61,0.01,0.03806,0.04556,0.02571,0.09125,0.2512,0.1515,0.01,0.0379,0.09674,0.02065,0.09155,0.2515,0.1519,0.07556,0.02,0.01576,0.1456,0.05927,0.1421,0.04956,0.0096,0.004555,0.253,0.254,0.000734,0.0,0.0629,0.06064,0.1315,0.1239,0.03958,0.07825,0.04242,0.01,0.0224,0.02419,0.3823,0.3838,0.06647,0.06384,0.0678,0.06854,0.237,0.1218,0.12146,0.0162,0.11554,0.1161,0.09467,0.0894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:52,61,0.01,0.0373,0.04446,0.02873,0.09515,0.265,0.1642,0.01,0.0371,0.102,0.02162,0.09546,0.2654,0.1648,0.0795,0.01718,0.01688,0.1405,0.05957,0.1373,0.04828,0.00863,0.004333,0.2847,0.2874,0.0006394,0.0,0.0672,0.0648,0.1362,0.1277,0.04172,0.0823,0.04227,0.01,0.02008,0.02213,0.3826,0.3848,0.0625,0.0603,0.07874,0.0795,0.2474,0.1229,0.1225,0.01622,0.1187,0.11914,0.0993,0.0936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:54,61,0.01,0.0382,0.0413,0.02795,0.08826,0.2686,0.1606,0.01,0.03802,0.10394,0.0213,0.0885,0.269,0.1615,0.0825,0.01833,0.01614,0.1406,0.05643,0.1282,0.0443,0.008835,0.002806,0.3425,0.3423,0.000721,0.0,0.07416,0.0705,0.1362,0.1263,0.04343,0.08136,0.0418,0.01,0.02094,0.02272,0.409,0.4104,0.06506,0.06155,0.07806,0.07855,0.2482,0.1248,0.12445,0.01616,0.126,0.1272,0.1048,0.09827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:56,61,0.4,0.04123,0.0337,0.02798,0.0753,0.2686,0.1399,0.4,0.04102,0.107,0.01599,0.0755,0.2693,0.1407,0.08014,0.01877,0.01479,0.131,0.0512,0.1211,0.04147,0.009,0.002497,0.381,0.3818,0.002127,0.0001751,0.0824,0.0789,0.1321,0.1219,0.04245,0.0784,0.0436,0.01,0.02135,0.0237,0.4077,0.41,0.06885,0.0657,0.0934,0.0942,0.2393,0.11865,0.1182,0.01685,0.131,0.1334,0.1072,0.1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:58,61,0.6,0.0445,0.03072,0.02687,0.05994,0.265,0.129,0.6,0.04425,0.1093,0.01587,0.06006,0.2659,0.1299,0.0805,0.02065,0.01406,0.1251,0.04755,0.1102,0.0381,0.006992,0.00227,0.4297,0.432,0.002762,0.0003195,0.0917,0.0873,0.1282,0.1171,0.04382,0.076,0.0468,0.01,0.02328,0.02582,0.4224,0.4248,0.0758,0.0734,0.10486,0.1058,0.235,0.114,0.11346,0.01736,0.1471,0.1506,0.1152,0.10834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:00,61,1.0,0.0467,0.02779,0.02841,0.05542,0.2725,0.1261,1.0,0.04645,0.11426,0.0164,0.05554,0.2734,0.1268,0.07654,0.02072,0.01313,0.11005,0.0414,0.09906,0.03497,0.00686,0.001497,0.4756,0.4768,0.003952,0.001346,0.09894,0.09406,0.11884,0.108,0.04242,0.0735,0.0479,0.01,0.0231,0.02583,0.4238,0.426,0.08093,0.079,0.11725,0.1183,0.218,0.098,0.09753,0.01862,0.1514,0.1549,0.11865,0.1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:02,61,0.6,0.05325,0.03113,0.02611,0.05246,0.278,0.1192,0.6,0.05304,0.1099,0.01732,0.0526,0.2793,0.11993,0.0755,0.02036,0.01327,0.0975,0.0366,0.0917,0.0345,0.00602,0.001518,0.502,0.5054,0.003725,0.001749,0.1117,0.1071,0.11334,0.10284,0.04413,0.0717,0.05136,0.01,0.02538,0.02826,0.4182,0.4194,0.08716,0.0868,0.1292,0.1304,0.1938,0.07605,0.0757,0.01988,0.1543,0.16,0.1284,0.1224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:04,61,0.01,0.05783,0.03384,0.02617,0.03928,0.2737,0.1064,0.01,0.05762,0.10834,0.01857,0.03946,0.2751,0.10693,0.0726,0.01941,0.01323,0.0894,0.03366,0.0915,0.03796,0.00971,0.000468,0.5137,0.5166,0.00644,0.00458,0.1035,0.0983,0.10913,0.0981,0.04007,0.06714,0.0505,0.01,0.02681,0.02977,0.4067,0.407,0.0974,0.0973,0.1382,0.1395,0.1716,0.07007,0.06976,0.02002,0.1552,0.1604,0.1366,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:06,61,0.01,0.0652,0.03955,0.02672,0.02531,0.2612,0.0887,0.01,0.065,0.10474,0.02019,0.02545,0.2625,0.089,0.0703,0.01921,0.0143,0.08435,0.03156,0.091,0.0408,0.008835,0.001976,0.518,0.524,0.007313,0.005844,0.0975,0.0924,0.1044,0.09357,0.038,0.0651,0.0527,0.01,0.02928,0.03223,0.406,0.4053,0.1054,0.10645,0.1504,0.152,0.1718,0.0681,0.0676,0.02092,0.1556,0.1597,0.1394,0.1351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:08,61,0.01,0.0751,0.0402,0.02876,0.01353,0.2406,0.0704,0.01,0.0748,0.1057,0.0203,0.01363,0.2421,0.0706,0.06915,0.02023,0.014046,0.0834,0.0281,0.09467,0.0415,0.01013,0.002348,0.5244,0.5293,0.007717,0.006733,0.0993,0.09357,0.10284,0.09186,0.0369,0.06235,0.05737,0.01,0.03235,0.0357,0.4075,0.4065,0.12054,0.12195,0.1588,0.1605,0.1527,0.07056,0.07007,0.02052,0.1595,0.1625,0.1416,0.1376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:10,61,0.01,0.0745,0.0441,0.02597,0.014565,0.2415,0.07086,0.01,0.0743,0.1004,0.02126,0.014694,0.2426,0.0711,0.0663,0.02496,0.01433,0.0824,0.02625,0.09564,0.0406,0.00784,0.00425,0.5063,0.511,0.007477,0.006554,0.1006,0.0944,0.101,0.09094,0.03925,0.0598,0.06152,0.01,0.03314,0.03613,0.4062,0.406,0.1321,0.1332,0.1588,0.1604,0.1669,0.0655,0.06494,0.02159,0.1691,0.1709,0.1436,0.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:12,61,0.01,0.0721,0.0429,0.0322,0.0196,0.256,0.07306,0.01,0.07184,0.10815,0.0219,0.01974,0.2573,0.0736,0.0639,0.02995,0.011345,0.08527,0.0265,0.0949,0.04016,0.0073,0.002926,0.486,0.4873,0.007263,0.005733,0.0956,0.0884,0.1,0.0903,0.03983,0.06024,0.06143,0.01,0.03378,0.0363,0.4036,0.4045,0.1348,0.1357,0.1562,0.1576,0.163,0.0673,0.0668,0.02255,0.1812,0.1819,0.1495,0.1436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:14,61,0.01,0.06586,0.0384,0.0366,0.02887,0.2747,0.08124,0.01,0.06555,0.1165,0.02107,0.02899,0.276,0.082,0.0632,0.03278,0.00907,0.0924,0.0313,0.0951,0.04056,0.00421,0.00179,0.4697,0.467,0.006687,0.005074,0.0864,0.0787,0.10175,0.0915,0.0421,0.0632,0.06195,0.01,0.03433,0.03604,0.405,0.406,0.1262,0.1262,0.145,0.1461,0.1971,0.0736,0.0731,0.02434,0.1968,0.1958,0.1536,0.1473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:16,61,0.01,0.05896,0.03004,0.0351,0.03864,0.2874,0.0933,0.01,0.0587,0.1212,0.01884,0.03876,0.2883,0.09406,0.06903,0.03177,0.0087,0.10443,0.04016,0.10156,0.04065,0.001061,0.002184,0.442,0.4397,0.00492,0.002909,0.0792,0.0716,0.1104,0.0995,0.04672,0.06976,0.06146,0.01,0.0331,0.0349,0.4126,0.4136,0.12085,0.121,0.1337,0.1346,0.2212,0.08136,0.0808,0.02412,0.2076,0.206,0.1545,0.1477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:18,61,0.01,0.05258,0.0266,0.02725,0.04968,0.2795,0.10486,0.01,0.05228,0.1135,0.01551,0.04984,0.2805,0.10535,0.07324,0.02606,0.010864,0.11597,0.05478,0.1174,0.04684,0.001789,0.003174,0.387,0.3901,0.0025,8.166e-05,0.0755,0.07,0.12213,0.11096,0.05054,0.0791,0.05914,0.01,0.0315,0.0338,0.3733,0.3738,0.096,0.0971,0.1273,0.1285,0.2279,0.0861,0.0856,0.02232,0.1962,0.1976,0.1447,0.1398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:20,61,0.01,0.05002,0.02657,0.02628,0.06052,0.2822,0.1227,0.01,0.04974,0.1112,0.01501,0.06073,0.2837,0.12286,0.0746,0.01924,0.0117,0.11707,0.0633,0.1284,0.05164,0.004555,0.003302,0.3347,0.3445,0.000997,0.0,0.07684,0.0741,0.1277,0.11774,0.05225,0.0845,0.0561,0.01,0.03146,0.03464,0.3428,0.3438,0.079,0.0828,0.1273,0.1287,0.2078,0.0913,0.0909,0.02191,0.1765,0.1816,0.1405,0.1382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:22,61,0.01,0.04886,0.02737,0.02834,0.06555,0.2864,0.131,0.01,0.0486,0.11096,0.013985,0.06573,0.288,0.1312,0.07306,0.01192,0.0136,0.1064,0.06305,0.1334,0.05386,0.0083,0.003925,0.3052,0.3196,0.0,0.0,0.0823,0.0822,0.1288,0.1189,0.0527,0.0815,0.05695,0.01,0.02985,0.0337,0.3108,0.311,0.0611,0.0671,0.1306,0.1321,0.2057,0.08575,0.0854,0.02307,0.1504,0.1582,0.1351,0.1351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:24,61,0.01,0.05545,0.03262,0.02278,0.05646,0.2776,0.1216,0.01,0.0552,0.1008,0.01435,0.05673,0.2798,0.12134,0.06805,0.01114,0.01226,0.09906,0.06573,0.1268,0.05493,0.00761,0.003994,0.2817,0.2993,0.0,0.0,0.09125,0.0924,0.12427,0.1153,0.05756,0.0808,0.0633,0.01,0.0341,0.03815,0.2852,0.2856,0.05032,0.05817,0.1279,0.1296,0.2122,0.09576,0.0956,0.02338,0.1498,0.1603,0.1356,0.1381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:26,61,0.01,0.05896,0.0342,0.01707,0.03967,0.2786,0.1007,0.01,0.05875,0.0943,0.01431,0.0399,0.2798,0.10034,0.0633,0.01596,0.01078,0.10077,0.06198,0.1218,0.05438,0.007523,0.002884,0.2942,0.3086,0.0,0.0,0.07306,0.0732,0.12006,0.11005,0.05167,0.0768,0.05728,0.01,0.03445,0.03763,0.318,0.3188,0.05704,0.06192,0.12134,0.12274,0.2279,0.1005,0.1004,0.02351,0.158,0.1659,0.1426,0.1437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:28,61,0.01,0.05972,0.0357,0.01478,0.03555,0.274,0.0893,0.01,0.05954,0.0915,0.0138,0.03574,0.275,0.0889,0.06555,0.02359,0.010666,0.1273,0.0617,0.12415,0.05057,0.007122,0.004322,0.2974,0.308,0.0002809,0.0,0.0672,0.0658,0.1214,0.1121,0.05206,0.0754,0.06146,0.01,0.0378,0.0407,0.3806,0.3843,0.07776,0.0803,0.1208,0.1222,0.2316,0.11053,0.11035,0.02182,0.1772,0.1788,0.1471,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:30,61,0.01,0.05396,0.03738,0.01631,0.0415,0.2676,0.08057,0.01,0.05377,0.0919,0.01344,0.0417,0.2678,0.08026,0.08093,0.02707,0.01307,0.1663,0.0657,0.1248,0.04874,0.00512,0.006348,0.288,0.2979,0.001182,0.0,0.0609,0.05902,0.1377,0.1282,0.05365,0.0741,0.06604,0.01,0.0372,0.03955,0.4143,0.417,0.0851,0.0854,0.127,0.1285,0.225,0.08014,0.0797,0.02168,0.1873,0.1866,0.1418,0.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:32,61,0.01,0.04077,0.03378,0.01886,0.0797,0.2898,0.0975,0.01,0.04065,0.0947,0.01184,0.07983,0.29,0.0971,0.09534,0.02199,0.0119,0.2266,0.0709,0.1278,0.045,0.007206,0.004654,0.285,0.2917,0.0,0.0,0.07184,0.0715,0.1478,0.1403,0.05432,0.0778,0.05585,0.01,0.0336,0.03622,0.411,0.4119,0.0689,0.06824,0.12036,0.1219,0.204,0.06015,0.05984,0.02194,0.1731,0.1769,0.1295,0.12463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:34,61,0.01,0.0394,0.04282,0.02097,0.0999,0.3125,0.1456,0.01,0.0394,0.0925,0.01714,0.1,0.3137,0.1456,0.094,0.01692,0.01452,0.2212,0.08057,0.12366,0.04373,0.008514,0.004875,0.253,0.2666,0.0,0.0,0.08923,0.0897,0.1552,0.1486,0.06335,0.0901,0.054,0.01,0.03032,0.03336,0.396,0.4004,0.043,0.04752,0.1282,0.1296,0.215,0.06647,0.06635,0.02188,0.1619,0.1659,0.136,0.1327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:36,61,0.01,0.0337,0.04486,0.01715,0.0998,0.3105,0.158,0.01,0.0336,0.0858,0.01668,0.1,0.312,0.1576,0.0876,0.02042,0.01232,0.1603,0.09125,0.1152,0.05328,0.00935,0.00531,0.2079,0.2231,0.0,0.0,0.0822,0.0839,0.1488,0.1392,0.07587,0.0961,0.0669,0.01,0.03043,0.03223,0.3079,0.3098,0.0439,0.0474,0.117,0.11914,0.2263,0.05588,0.05573,0.02362,0.148,0.1552,0.1262,0.1273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:03:38,61,0.01,0.03452,0.0354,0.0166,0.0909,0.3015,0.1423,0.01,0.03436,0.08514,0.00725,0.09106,0.3032,0.1421,0.07104,0.01733,0.01141,0.11395,0.08966,0.1163,0.0638,0.00785,0.006393,0.1771,0.19,0.0,0.0,0.06964,0.0711,0.132,0.1224,0.06995,0.09155,0.06213,0.01,0.03023,0.03256,0.2314,0.2292,0.03665,0.03763,0.11865,0.12006,0.2192,0.04135,0.04114,0.02614,0.1335,0.1405,0.1217,0.1236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
